season,goal_home_ft,home_shots,home_shots_on_target,ratio tirs cadrés / tirs,ratio buts / tirs cadrés,ratio buts / tirs,ratio tirs cadrés / tirs domicile,ratio buts / tirs cadrés domicile,ratio buts / tirs domicile,goal_away_ft,away_shots,away_shots_on_target,ratio tirs cadrés / tirs,ratio buts / tirs cadrés,ratio buts / tirs,ratio tirs cadrés / tirs extérieur,ratio buts / tirs cadrés extérieur,ratio buts / tirs extérieur,ratio tirs cadrés / tirs global,ratios buts / tirs cadrés global,ratios buts / tirs global
10/11,33,350.0,125.0,0.35714285714285715,0.264,0.09428571428571429,0.35714285714285715,0.264,0.09428571428571429,39,304.0,113.0,0.3717105263157895,0.34513274336283184,0.12828947368421054,0.3717105263157895,0.34513274336283184,0.12828947368421054,0.36,0.3,0.11
11/12,39,350.0,119.0,0.34,0.3277310924369748,0.11142857142857143,0.34,0.3277310924369748,0.11142857142857143,35,287.0,117.0,0.4076655052264808,0.29914529914529914,0.12195121951219512,0.4076655052264808,0.29914529914529914,0.12195121951219512,0.37,0.31,0.12
12/13,47,348.0,118.0,0.3390804597701149,0.3983050847457627,0.13505747126436782,0.3390804597701149,0.3983050847457627,0.13505747126436782,25,249.0,87.0,0.3493975903614458,0.28735632183908044,0.10040160642570281,0.3493975903614458,0.28735632183908044,0.10040160642570281,0.34,0.34,0.12
13/14,36,284.0,115.0,0.40492957746478875,0.3130434782608696,0.1267605633802817,0.40492957746478875,0.3130434782608696,0.1267605633802817,32,239.0,98.0,0.4100418410041841,0.32653061224489793,0.13389121338912133,0.4100418410041841,0.32653061224489793,0.13389121338912133,0.41,0.32,0.13
14/15,41,358.0,140.0,0.39106145251396646,0.29285714285714287,0.11452513966480447,0.39106145251396646,0.29285714285714287,0.11452513966480447,30,252.0,87.0,0.34523809523809523,0.3448275862068966,0.11904761904761904,0.34523809523809523,0.3448275862068966,0.11904761904761904,0.37,0.32,0.12
15/16,31,321.0,115.0,0.3582554517133956,0.26956521739130435,0.09657320872274143,0.3582554517133956,0.26956521739130435,0.09657320872274143,34,250.0,96.0,0.384,0.3541666666666667,0.136,0.384,0.3541666666666667,0.136,0.37,0.31,0.12
16/17,39,330.0,115.0,0.3484848484848485,0.3391304347826087,0.11818181818181818,0.3484848484848485,0.3391304347826087,0.11818181818181818,38,236.0,86.0,0.3644067796610169,0.4418604651162791,0.16101694915254236,0.3644067796610169,0.4418604651162791,0.16101694915254236,0.36,0.39,0.14
17/18,54,343.0,147.0,0.42857142857142855,0.3673469387755102,0.15743440233236153,0.42857142857142855,0.3673469387755102,0.15743440233236153,20,251.0,87.0,0.3466135458167331,0.22988505747126436,0.0796812749003984,0.3466135458167331,0.22988505747126436,0.0796812749003984,0.39,0.3,0.12
18/19,42,257.0,97.0,0.377431906614786,0.4329896907216495,0.16342412451361868,0.377431906614786,0.4329896907216495,0.16342412451361868,31,210.0,73.0,0.3476190476190476,0.4246575342465753,0.14761904761904762,0.3476190476190476,0.4246575342465753,0.14761904761904762,0.36,0.43,0.16
19/20,36,230.0,91.0,0.39565217391304347,0.3956043956043956,0.1565217391304348,0.39565217391304347,0.3956043956043956,0.1565217391304348,20,176.0,60.0,0.3409090909090909,0.3333333333333333,0.11363636363636363,0.3409090909090909,0.3333333333333333,0.11363636363636363,0.37,0.36,0.14
