,name,Matchs manqués
9,Santi Cazorla,103
18,Gedion Zelalem,67
27,Per Mertesacker,32
3,Aaron Ramsey,22
13,Chuba Akpom,22
0,Stephy Mavididi,17
19,Lucas Pérez,16
12,Mathieu Debuchy,13
17,Shkodran Mustafi,11
21,Olivier Giroud,10
16,Gabriel Paulista,10
14,Theo Walcott,10
4,Calum Chambers,10
8,Héctor Bellerín,9
7,Francis Coquelin,6
28,Petr Cech,5
25,Mesut Özil,5
2,Alex Oxlade-Chamberlain,5
10,David Ospina,5
23,Kieran Gibbs,5
5,Alex Iwobi,4
1,Joel Campbell,3
15,Granit Xhaka,3
26,Nacho Monreal,3
11,Mohamed Elneny,2
24,Laurent Koscielny,1
22,Jack Wilshere,1
6,Danny Welbeck,1
20,Alexis Sánchez,0
