,Saison,equipe,moyenne_age
0,2010,Arsenal,24.35
1,2011,Arsenal,24.16
2,2012,Arsenal,23.95
3,2013,Arsenal,24.54
4,2014,Arsenal,24.0
5,2015,Arsenal,24.66
6,2016,Arsenal,24.74
7,2017,Arsenal,24.84
8,2018,Arsenal,24.9
9,2019,Arsenal,24.29
10,2020,Arsenal,24.38
11,2010,Manchester United,25.14
12,2011,Manchester United,24.56
13,2012,Manchester United,24.71
14,2013,Manchester United,25.54
15,2014,Manchester United,24.88
16,2015,Manchester United,23.52
17,2016,Manchester United,24.43
18,2017,Manchester United,26.06
19,2018,Manchester United,25.33
20,2019,Manchester United,23.88
21,2020,Manchester United,24.95
22,2010,Manchester City,24.42
23,2011,Manchester City,25.42
24,2012,Manchester City,24.83
25,2013,Manchester City,26.81
26,2014,Manchester City,26.68
27,2015,Manchester City,25.37
28,2016,Manchester City,26.43
29,2017,Manchester City,25.06
30,2018,Manchester City,24.26
31,2019,Manchester City,25.15
32,2020,Manchester City,24.92
33,2010,Chelsea,25.45
34,2011,Chelsea,26.69
35,2012,Chelsea,25.94
36,2013,Chelsea,24.71
37,2014,Chelsea,24.92
38,2015,Chelsea,24.65
39,2016,Chelsea,24.8
40,2017,Chelsea,24.7
41,2018,Chelsea,25.57
42,2019,Chelsea,24.06
43,2020,Chelsea,25.15
44,2010,Liverpool,24.45
45,2011,Liverpool,25.58
46,2012,Liverpool,23.46
47,2013,Liverpool,24.11
48,2014,Liverpool,24.31
49,2015,Liverpool,23.43
50,2016,Liverpool,24.39
51,2017,Liverpool,24.89
52,2018,Liverpool,24.72
53,2019,Liverpool,23.25
54,2020,Liverpool,24.4
55,2010,Tottenham,24.45
56,2011,Tottenham,25.58
57,2012,Tottenham,23.46
58,2013,Tottenham,24.11
59,2014,Tottenham,24.31
60,2015,Tottenham,23.43
61,2016,Tottenham,24.39
62,2017,Tottenham,24.89
63,2018,Tottenham,24.72
64,2019,Tottenham,23.25
65,2020,Tottenham,24.4
